CoingeckoID,Symbol,CoingeckoChainName,Address
wrapped-bitcoin,BTC,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
weth,ETH,ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
binance-peg-xrp,XRP,binance-smart-chain,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe
wrapped-solana,SOL,solana,So11111111111111111111111111111111111111112
wrapped-tron,TRX,ethereum,0x50327c6c5a14dcade707abad2e27eb517df87ab5
binance-peg-dogecoin,DOGE,binance-smart-chain,0xba2ae424d960c26247dd6c32edc70b295c744c43
binance-peg-cardano,ADA,binance-smart-chain,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47
chainlink,LINK,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca
wrapped-avax,AVAX,avalanche,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
the-open-network,TON,ethereum,0x582d872a1b094fc48f5de31d3b73f2d9be47def1
shiba-inu,SHIB,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
sui,SUI,sui,0x0000000000000000000000000000000000000000000000000000000000000002::sui::SUI
binance-peg-bitcoin-cash,BCH,binance-smart-chain,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf
binance-peg-litecoin,LTC,binance-smart-chain,0x4338665cbb7b2485a8855a139b75d5e34ab0db94
binance-peg-polkadot,DOT,binance-smart-chain,0x7083609fce4d1d8dc0c979aab8c869ea2c873402
uniswap,UNI,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
pepe,PEPE,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933
aptos,APT,aptos,0x1::aptos_coin::AptosCoin
ondo-finance,ONDO,ethereum,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3



wrapped-sonic,S,solana,3rQK45d1ojXR7vtvCmeNjKKVycnVWqaVcP3zk1G39RJR
